comment_id,video_id,author,text,likes_count
"Bomil:Fraților, haideți să ne mobili",7525152499582422294,Bomil,"Fraților, haideți să ne mobilizăm.",1
ралука маташе:Doar prin revolutie,7525152499582422294,ралука маташе,Doar prin revolutie,1
Florin Mitrache:TOATA ROMANIA IL IUBESTE PE CA,7525152499582422294,Florin Mitrache,TOATA ROMANIA IL IUBESTE PE CALIN GEORGESCU 🥰🥰🥰,1
Mariana Danci:tot poporu român este cu călin,7525152499582422294,Mariana Danci,tot poporu român este cu călin georgescu președintele româniei este alesul poporului român,1
Sandocan:FORTA CALIN GEORGESCU,7525152499582422294,Sandocan,FORTA CALIN GEORGESCU,1
Ali Anastasia:Adevaratul presedinte,7525152499582422294,Ali Anastasia,Adevaratul presedinte,0
Mariana-Georgeta Ziegler:Calin Georgescu Presedinte 💖💖💖,7525152499582422294,Mariana-Georgeta Ziegler,Calin Georgescu Presedinte 💖💖💖💖,1
Bomil:Unde este Nicușor? A dispărut.,7525152499582422294,Bomil,Unde este Nicușor? A dispărut. Ce ați votat oameni buni? Noi ne mai facem bine?,1
Florin Mitrache:CALIN GEORGESCU PRESEDINTE NOS,7525152499582422294,Florin Mitrache,CALIN GEORGESCU PRESEDINTE NOSTRU ALES🥰🥰🥰,1
mircea73:Este Președintele României 😉😉😉,7525152499582422294,mircea73,Este Președintele României 😉😉😉 ce va miră???,1
ileanaconstantine5:❤️💛💙,7525152499582422294,ileanaconstantine5,❤️💛💙,2
Florina Puscaciu:❤️❤️❤️❤️❤️❤️❤️❤️❤️,7525152499582422294,Florina Puscaciu,❤️❤️❤️❤️❤️❤️❤️❤️❤️,1
hanganu constantin:🙏,7525152499582422294,hanganu constantin,🙏,1
Petrică Butureanu:🥰🥰🥰,7525152499582422294,Petrică Butureanu,🥰🥰🥰,1
Elena Elena:❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,7525152499582422294,Elena Elena,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,1
Giovanni Jas Stat:Forță maximă CG AUR POT 🇷🇴 Lup,7525152499582422294,Giovanni Jas Stat,Forță maximă CG AUR POT 🇷🇴 Lupta ⚔️continuă,2
Camelia:🤡,7525152499582422294,Camelia,🤡,0
Tatiana Rosu:mai shnteti in justiție multi ,7525152499582422294,Tatiana Rosu,mai shnteti in justiție multi hoti,0
Mefisto::፪፯፪፰፰፫፱፬፱፬፰፬፰፰፫፰፫፰፬፰፰፬፰፱፬፱፱፬ ,7526197136904424706,Mefisto,":፪፯፪፰፰፫፱፬፱፬፰፬፰፰፫፰፫፰፬፰፰፬፰፱፬፱፱፬ Sa mi bag pl n fam lui de garoi,si in toti fanii lui ፪፯፪፰፰፫፱፬፱፬፰፬፰፰፫፰፫፰፬፰፰፬፰፱፬፱፱፬",28
irinell89🐊:cine este prostul de jos ? cre,7526197136904424706,irinell89🐊,"cine este prostul de jos ? cred ca si-a incheiat cariera 😂😂💪💪💪 , forza veteranii Hip hop 💪💪💪",12
naciurafaelacrist:nu înțeleg de ce nu au făcut n,7526197136904424706,naciurafaelacrist,nu înțeleg de ce nu au făcut nimic în privința lu asta legea trebuie oprit din prima 😡😡,12
mironclaudiu0:băi fraților cinei îi promovea,7526197136904424706,mironclaudiu0,băi fraților cinei îi promovează pe copii ăstea cu cap de gumă 🤮😡😡,36
"alexniculadarnea:Puya omul,Puya artistul,Puya r",7526197136904424706,alexniculadarnea,"Puya omul,Puya artistul,Puya românul nostru cu un caracter frumos el nu sa vândut el iubeste românia si noi îl iubim si îl respectăm! Te iubim Puya!",4
