video_id,url,author_username,description,digg_count,share_count,comment_count,play_count
7506921311780867351,https://www.tiktok.com/@costinrusu.ro/video/7506921311780867351,costinrusu.ro,"România e suverană, dar… în multe domenii, suveranitatea e negociată. De aceea avem nevoie de educație economică. Ca să înțelegem ce înseamnă independența reală – și cum o putem proteja. #suveranitate #educatiefinanciara #romania2025 #independentaeconomica #statroman #economiepentrutoti #tiktokromania #suveranitatenationala",2431,568,260,29600
7526257119482514690,https://www.tiktok.com/@spicijalea/video/7526257119482514690,spicijalea,#focsani #romania #city #romania🇷🇴 #suveranitate #2025 #foryoupage❤️❤️ #diaspora #aur #politica #georgesimion #love #calingeorgescupresedinte ,5957,1577,746,51500
7459408076639063318,https://www.tiktok.com/@andrei.covaci/video/7459408076639063318,andrei.covaci,despre suveranitate #5pasidebine ,5979,581,983,51400
7527537668603825430,https://www.tiktok.com/@irinuka39/video/7527537668603825430,irinuka39,#fy #suveranitate #iubescromania ,138,140,19,1420
7522887320421305622,https://www.tiktok.com/@ionutgmarius/video/7522887320421305622,ionutgmarius,#pamflet #calingeorgescu2024 #suveranitate #soros ,21400,4024,1995,220000
7527601571677441302,https://www.tiktok.com/@maia33275/video/7527601571677441302,maia33275,#doamneajuta #🙏❤️🇷🇴 #suveranitate #romania #@calin.georgescu.real #fyp #OnoaresiRespect🙏❤️🇷🇴 ,608,88,124,3463
7495147531911843094,https://www.tiktok.com/@adrian.mar0/video/7495147531911843094,adrian.mar0,Suveranitate nationala #georgesimion,1404,128,162,9936
7522200346312166678,https://www.tiktok.com/@ionutgmarius/video/7522200346312166678,ionutgmarius,#calingeorgescu2024 #stiri #suveranitate #romania #PAMFLET #PAMFLET #PAMFLET #PAMFLET #pamflet ,27300,2500,4369,358900
7442757197278366998,https://www.tiktok.com/@rares.axi/video/7442757197278366998,rares.axi,𝐕𝐢𝐢𝐭𝐨𝐫𝐮𝐥 𝐍𝐚ț𝐢𝐮𝐧𝐢𝐥𝐨𝐫 𝐒𝐮𝐯𝐞𝐫𝐚𝐧𝐞: 𝐌𝐞𝐬𝐚𝐣𝐮𝐥 𝐥𝐮𝐢 𝐃𝐨𝐧𝐚𝐥𝐝 𝐓𝐫𝐮𝐦𝐩 𝐝𝐞𝐬𝐩𝐫𝐞 𝐂ă𝐥𝐢𝐧 𝐆𝐞𝐨𝐫𝐠𝐞𝐬𝐜𝐮 #DonaldTrump #CălinGeorgescu #Suveranitate #Libertate #Democrație #Patriotism #Pace #NațiuniSuverane #LideriÎnțelepți #BinelePoporului #ViitorulPatrioților #MândrieNațională #ProtecțiaCetățenilor #RespectNațiuni #Independență ,2288,601,232,66400
7526197136904424706,https://www.tiktok.com/@delia.resiga1/video/7526197136904424706,delia.resiga1,Mândru de România#tiktokromania🇷🇴 #viralromania #fypromania #pace #diaspora #suveranitate #romania🇷🇴 ,840,123,68,18200
